flops 4.43 GMac params 23.53 M
Files already downloaded and verified
Files already downloaded and verified
/usr/local/miniconda3/envs/transformer/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
epoch 0 lr 0.005 loss 0.013319992730170488 acc 0.9293
epoch 1 lr 0.005 loss 0.00389192362986505 acc 0.96
epoch 2 lr 0.00499913648064003 loss 0.0028709981171786787 acc 0.9691
epoch 3 lr 0.004996546774749476 loss 0.002341705948449671 acc 0.9694
epoch 4 lr 0.00499223343805539 loss 0.0020160863078944385 acc 0.9736
epoch 5 lr 0.004986200727300336 loss 0.001773152005597949 acc 0.9743
epoch 6 lr 0.0049784545960414915 loss 0.0016060361939296127 acc 0.9777
epoch 7 lr 0.004969002688775205 loss 0.0014544969621300696 acc 0.9784
epoch 8 lr 0.004957854333392808 loss 0.0013691381829604506 acc 0.979
epoch 9 lr 0.004945020531975104 loss 0.0012318461393751204 acc 0.9778
epoch 10 lr 0.004930513949934651 loss 0.0011607665327191352 acc 0.9798
epoch 11 lr 0.004914348903516519 loss 0.0010450361392647027 acc 0.9816
epoch 12 lr 0.0048965413456698945 loss 0.0009780614064633846 acc 0.9811
epoch 13 lr 0.00487710885030444 loss 0.0009732389415428042 acc 0.9813
epoch 14 lr 0.004856070594946967 loss 0.0009023334292694926 acc 0.9822
epoch 15 lr 0.0048334473418155345 loss 0.0008610469857417047 acc 0.9808
epoch 21 lr 0.004665779740156158 loss 0.0006786618576478214 acc 0.9827
epoch 22 lr 0.004632771271657459 loss 0.0006500248161051423 acc 0.9835
epoch 23 lr 0.004598398174857631 loss 0.0006231077734287828 acc 0.9835
epoch 24 lr 0.004562694371853304 loss 0.0006165764649678022 acc 0.9832
epoch 25 lr 0.00452569509798747 loss 0.0006013623885530978 acc 0.9839
epoch 26 lr 0.004487436867076458 loss 0.0005631448298273608 acc 0.9833
epoch 27 lr 0.004447957435375205 loss 0.0005488795267883688 acc 0.9835
epoch 28 lr 0.004407295764316391 loss 0.0005520921554043889 acc 0.9838
epoch 29 lr 0.0043654919820602075 loss 0.000544641285892576 acc 0.9836
epoch 30 lr 0.004322587343892709 loss 0.0005372378652635962 acc 0.9842
epoch 31 lr 0.004278624191511828 loss 0.0005262250909209252 acc 0.984
epoch 32 lr 0.004233645911241229 loss 0.0005358505929028615 acc 0.984
epoch 33 lr 0.004187696891213244 loss 0.0005012004550825805 acc 0.9837
epoch 34 lr 0.004140822477563149 loss 0.00048752361937891693 acc 0.985
epoch 35 lr 0.004093068929678001 loss 0.000475798446405679 acc 0.9847
epoch 36 lr 0.004044483374544207 loss 0.0004578435835056007 acc 0.9854
epoch 37 lr 0.003995113760238878 loss 0.00046047521840780975 acc 0.9855
epoch 38 lr 0.003945008808610866 loss 0.0004428935108194128 acc 0.9856
